318,-34,-38
128,-54,-62
120,-46,-48
130,-60,-28
111,-48,-60
123,-28,-22
301,-20,-20
233,-58,-54
326,-28,-20
117,-64,-58
132,-124,-106
508,-28,-10
334,-50,-24
503,-38,-28
518,-42,-50
307,-34,-40
523,-36,-32
515,-32,-42
404,-22,-42
211,-68,-102
222,-30,-38
309,-46,-40
115,-78,-34
330,-50,-22
418,-36,-58
337,-84,-64
121,-44,-96
413,-34,-62
423,-38,-32
422,-54,-32
429,-32,-42
333,-16,-12
510,-20,-36
527,-44,-30
202,-26,-30
101,-66,-32
323,-58,-52
126,-38,-24
432,-20,-6
424,-20,-28
312,-46,-30
129,-48,-62
514,-30,-44
327,-10,-32
504,-58,-26
417,-18,-20
529,-26,-38
306,-24,-18
212,-38,-26
109,-24,-22
526,-28,-24
332,-28,-26
232,-34,-34
420,-20,-32
207,-40,-46
316,-38,-40
331,-98,-92
335,-20,-30
119,-62,-72
118,-22,-36
231,-28,-26
532,-28,-22
104,-46,-38
531,-38,-40
409,-42,-52
519,-18,-40
201,-38,-54
406,-34,-24
525,-32,-40
216,-28,-56
414,-36,-40
114,-88,-76
110,-44,-58
427,-16,-16
210,-36,-30
209,-82,-60
502,-34,-60
227,-46,-36
122,-70,-90
302,-30,-18
218,-74,-74
112,-46,-74
520,-46,-58
421,-38,-40
315,-22,-34
419,-36,-34
305,-32,-48
430,-20,-16
416,-20,-22
225,-36,-62
516,-26,-38
328,-14,-34
310,-24,-40
220,-60,-86
215,-34,-62
517,-24,-46
329,-96,-142
226,-32,-16
415,-54,-16
321,-28,-74
235,-22,-60
426,-30,-26
408,-20,-36
431,-54,-46
230,-22,-34
133,-98,-138
124,-34,-44
501,-20,-36
320,-42,-38
324,-92,-62
228,-46,-30
522,-32,-24
219,-58,-22
205,-18,-44
204,-28,-38
313,-26,-20
131,-76,-60
105,-104,-84
213,-44,-70
308,-54,-44
505,-34,-30
530,-16,-20
103,-62,-52
410,-12,-24
304,-26,-18
506,-30,-46
319,-38,-50
125,-48,-32
511,-44,-56
325,-38,-34
