319,-56,-74
219,-20,-24
506,-12,-20
121,-90,-92
327,-22,-26
221,-50,-70
133,-30,-36
303,-22,-14
123,-52,-52
127,-42,-62
518,-30,-40
528,-64,-54
324,-72,-54
230,-36,-60
430,-44,-40
530,-10,-38
104,-72,-50
313,-62,-58
203,-42,-98
204,-50,-54
124,-46,-48
337,-70,-78
309,-34,-60
312,-52,-34
310,-44,-48
517,-42,-42
524,-14,-36
424,-26,-30
115,-60,-60
111,-118,-124
202,-60,-38
405,-40,-46
527,-32,-32
228,-82,-50
511,-58,-76
515,-40,-34
318,-48,-44
509,-18,-32
521,-34,-46
505,-20,-32
113,-22,-46
320,-38,-32
122,-118,-94
112,-140,-128
316,-30,-32
333,-24,-36
208,-24,-32
423,-58,-30
529,-24,-26
129,-44,-30
416,-22,-36
334,-62,-24
231,-40,-38
306,-8,-28
421,-24,-44
326,-40,-30
504,-36,-42
120,-36,-26
520,-22,-16
235,-32,-36
419,-38,-62
412,-36,-38
311,-52,-40
315,-22,-64
526,-20,-26
205,-58,-36
211,-62,-66
128,-26,-80
126,-40,-46
514,-40,-34
402,-24,-36
426,-36,-24
512,-26,-44
109,-60,-48
525,-22,-22
429,-58,-84
227,-38,-46
325,-26,-46
322,-34,-66
323,-36,-36
431,-28,-58
408,-46,-88
513,-28,-24
507,-16,-48
212,-52,-74
502,-18,-20
304,-20,-22
233,-32,-52
413,-44,-46
406,-36,-30
201,-58,-50
503,-20,-48
222,-60,-42
209,-22,-44
420,-16,-32
224,-46,-54
102,-52,-58
223,-48,-24
116,-26,-44
329,-30,-46
214,-96,-100
331,-54,-46
229,-38,-38
232,-60,-52
119,-48,-70
107,-82,-128
417,-12,-36
508,-12,-20
114,-46,-54
118,-48,-60
110,-38,-48
409,-42,-42
218,-70,-58
301,-14,-36
307,-46,-34
510,-20,-12
422,-36,-38
302,-36,-34
425,-30,-36
531,-40,-40
523,-10,-22
220,-46,-34
432,-22,-22
328,-26,-32
206,-28,-50
225,-94,-88
125,-64,-72
335,-50,-38
213,-44,-42
401,-42,-32
522,-30,-36
415,-40,-16
403,-60,-50
418,-42,-22
414,-32,-46
404,-38,-30
321,-90,-70
216,-34,-66
207,-30,-44
130,-36,-34
108,-38,-48
131,-32,-34
532,-24,-52
332,-40,-34
516,-36,-30
330,-26,-36
428,-52,-44
519,-40,-40
314,-58,-32
210,-48,-36
410,-24,-30
132,-56,-50
308,-40,-34
106,-50,-46
427,-22,-34
501,-46,-34
117,-68,-38
215,-26,-38
226,-18,-26
411,-40,-46
